path,basename,font_family,font_full_name,font_postscript_name
/System/Library/Fonts/Supplemental/STIXSizThreeSymBol.otf,STIXSizThreeSymBol.otf,STIXSizeThreeSym,STIXSizeThreeSym-Bold,STIXSizeThreeSym-Bold
/System/Library/Fonts/Supplemental/STIXSizTwoSymBol.otf,STIXSizTwoSymBol.otf,STIXSizeTwoSym,STIXSizeTwoSym-Bold,STIXSizeTwoSym-Bold
/System/Library/Fonts/Supplemental/STIXSizTwoSymReg.otf,STIXSizTwoSymReg.otf,STIXSizeTwoSym,STIXSizeTwoSym-Regular,STIXSizeTwoSym-Regular
/System/Library/Fonts/Supplemental/STIXVar.otf,STIXVar.otf,STIXVariants,STIXVariants-Regular,STIXVariants-Regular
/System/Library/Fonts/Supplemental/STIXVarBol.otf,STIXVarBol.otf,STIXVariants,STIXVariants-Bold,STIXVariants-Bold
/System/Library/Fonts/Supplemental/Sana.ttc,Sana.ttc,Sana,Sana Regular,Sana
/System/Library/Fonts/Supplemental/Sathu.ttf,Sathu.ttf,Sathu,Sathu,Sathu
/System/Library/Fonts/Supplemental/Savoye LET.ttc,Savoye LET.ttc,Savoye LET,Savoye LET Plain:1.0,SavoyeLetPlain
/System/Library/Fonts/Supplemental/Seravek.ttc,Seravek.ttc,Seravek,Seravek,Seravek
/System/Library/Fonts/Supplemental/Shree714.ttc,Shree714.ttc,Shree Devanagari 714,Shree Devanagari 714,ShreeDev0714
/System/Library/Fonts/Supplemental/SignPainter.ttc,SignPainter.ttc,SignPainter-HouseScript,SignPainter-HouseScript,SignPainter-HouseScript
/System/Library/Fonts/Supplemental/Silom.ttf,Silom.ttf,Silom,Silom,Silom
/System/Library/AssetsV2/com_apple_MobileAsset_Font8/259e8f5a322e8dae602d51ac00aefb3d6b05c224.asset/AssetData/SimSong.ttc,SimSong.ttc,SimSong,SimSong Regular,SimSong-Regular
/System/Library/Fonts/Supplemental/Sinhala MN.ttc,Sinhala MN.ttc,Sinhala MN,Sinhala MN,SinhalaMN
/System/Library/Fonts/Supplemental/Sinhala Sangam MN.ttc,Sinhala Sangam MN.ttc,Sinhala Sangam MN,Sinhala Sangam MN,SinhalaSangamMN
/System/Library/Fonts/Supplemental/Skia.ttf,Skia.ttf,Skia,Skia,Skia-Regular
/System/Library/Fonts/Supplemental/SnellRoundhand.ttc,SnellRoundhand.ttc,Snell Roundhand,Snell Roundhand,SnellRoundhand
/System/Library/Fonts/Supplemental/Songti.ttc,Songti.ttc,Songti SC,Songti SC Black,STSongti-SC-Black
/Users/xiangyucheng/Library/Fonts/SourceHanSansCN-Bold.otf,SourceHanSansCN-Bold.otf,Source Han Sans CN Bold,Source Han Sans CN Bold Bold,SourceHanSansCN-Bold
/Users/xiangyucheng/Library/Fonts/SourceHanSansCN-Bold_2.otf,SourceHanSansCN-Bold_2.otf,Source Han Sans CN Bold,Source Han Sans CN Bold Bold,SourceHanSansCN-Bold
/Users/xiangyucheng/Library/Fonts/SourceHanSansCN-ExtraLight.otf,SourceHanSansCN-ExtraLight.otf,Source Han Sans CN ExtraLight,Source Han Sans CN ExtraLight,SourceHanSansCN-ExtraLight
/Users/xiangyucheng/Library/Fonts/思源黑体 CN Heavy.otf,思源黑体 CN Heavy.otf,Source Han Sans CN Heavy,Source Han Sans CN Heavy,SourceHanSansCN-Heavy
/Users/xiangyucheng/Library/Fonts/SourceHanSansCN-Light.otf,SourceHanSansCN-Light.otf,Source Han Sans CN Light,Source Han Sans CN Light,SourceHanSansCN-Light
/Users/xiangyucheng/Library/Fonts/SourceHanSansCN-Medium.otf,SourceHanSansCN-Medium.otf,Source Han Sans CN Medium,Source Han Sans CN Medium,SourceHanSansCN-Medium
