path,basename,font_family,font_full_name,font_postscript_name
/System/Library/Fonts/Supplemental/AppleMyungjo.ttf,AppleMyungjo.ttf,AppleMyungjo,AppleMyungjo Regular,AppleMyungjo
/System/Library/Fonts/Supplemental/Arial Italic.ttf,Arial Italic.ttf,Arial,Arial Italic,Arial-ItalicMT
/System/Library/Fonts/Supplemental/Arial Bold Italic.ttf,Arial Bold Italic.ttf,Arial,Arial Bold Italic,Arial-BoldItalicMT
/System/Library/Fonts/Supplemental/Arial Bold.ttf,Arial Bold.ttf,Arial,Arial Bold,Arial-BoldMT
/System/Library/Fonts/Supplemental/Arial.ttf,Arial.ttf,Arial,Arial,ArialMT
/System/Library/Fonts/Supplemental/Arial Black.ttf,Arial Black.ttf,Arial Black,Arial Black,Arial-Black
/System/Library/Fonts/ArialHB.ttc,ArialHB.ttc,Arial Hebrew,Arial Hebrew,ArialHebrew
/System/Library/Fonts/Supplemental/Arial Narrow Bold Italic.ttf,Arial Narrow Bold Italic.ttf,Arial Narrow,Arial Narrow Bold Italic,ArialNarrow-BoldItalic
/System/Library/Fonts/Supplemental/Arial Narrow Italic.ttf,Arial Narrow Italic.ttf,Arial Narrow,Arial Narrow Italic,ArialNarrow-Italic
/System/Library/Fonts/Supplemental/Arial Narrow.ttf,Arial Narrow.ttf,Arial Narrow,Arial Narrow,ArialNarrow
/System/Library/Fonts/Supplemental/Arial Narrow Bold.ttf,Arial Narrow Bold.ttf,Arial Narrow,Arial Narrow Bold,ArialNarrow-Bold
/System/Library/Fonts/Supplemental/Arial Rounded Bold.ttf,Arial Rounded Bold.ttf,Arial Rounded MT Bold,Arial Rounded MT Bold,ArialRoundedMTBold
/Library/Fonts/Arial Unicode.ttf,Arial Unicode.ttf,Arial Unicode MS,Arial Unicode MS,ArialUnicodeMS
/System/Library/Fonts/Supplemental/Arial Unicode.ttf,Arial Unicode.ttf,Arial Unicode MS,Arial Unicode MS,ArialUnicodeMS
/Users/xiangyucheng/Library/Fonts/Arual.ttf,Arual.ttf,Arual,ArualLight,Arual
/System/Library/Fonts/Supplemental/Athelas.ttc,Athelas.ttc,Athelas,Athelas Regular,Athelas-Regular
/System/Library/Fonts/Avenir.ttc,Avenir.ttc,Avenir Book,Avenir Book,Avenir-Book
/System/Library/Fonts/Avenir Next.ttc,Avenir Next.ttc,Avenir Next,Avenir Next Bold,AvenirNext-Bold
/System/Library/Fonts/Avenir Next Condensed.ttc,Avenir Next Condensed.ttc,Avenir Next Condensed,Avenir Next Condensed Bold,AvenirNextCondensed-Bold
/System/Library/Fonts/Supplemental/Ayuthaya.ttf,Ayuthaya.ttf,Ayuthaya,Ayuthaya,Ayuthaya
/System/Library/AssetsV2/com_apple_MobileAsset_Font8/42529d87b12845309dd4a57dea9e58446826e94c.asset/AssetData/BIZ_UDGothic.ttc,BIZ_UDGothic.ttc,BIZ UDGothic,BIZ UDGothic,BIZUDGothic-Regular
/System/Library/AssetsV2/com_apple_MobileAsset_Font8/0ebfdb7e5a2a1db668fa6209779e0725d6f6baba.asset/AssetData/BIZ_UDMincho-regular.ttf,BIZ_UDMincho-regular.ttf,BIZ UDMincho,BIZ UDMincho,BIZUDMincho-Regular
/System/Library/AssetsV2/com_apple_MobileAsset_Font8/6ca8b19114fa5b803af8c74eff3f7b75be41559a.asset/AssetData/BMDoHyeon-Regular.otf,BMDoHyeon-Regular.otf,BM DoHyeon OTF,BM DoHyeon OTF,BMDoHyeon-OTF
/System/Library/AssetsV2/com_apple_MobileAsset_Font8/22656331beb61633e057fa20aa73b3bd117707f9.asset/AssetData/BMHanna11yrs-Regular.otf,BMHanna11yrs-Regular.otf,BM HANNA 11yrs old OTF,BM HANNA 11yrs old OTF,BMHANNA11yrsoldOTF
/System/Library/AssetsV2/com_apple_MobileAsset_Font8/b7cb5af102eef622e55e701862272b80e89d2d5f.asset/AssetData/BMHannaAir-Regular.otf,BMHannaAir-Regular.otf,BM HANNA Air OTF,BM HANNA Air OTF,BMHANNAAirOTF
/System/Library/AssetsV2/com_apple_MobileAsset_Font8/3d0af21c67c597a49a25214ff4c70179baf6f3ca.asset/AssetData/BMHannaPro-Regular.otf,BMHannaPro-Regular.otf,BM HANNA Pro OTF,BM HANNA Pro OTF,BMHANNAProOTF
/System/Library/AssetsV2/com_apple_MobileAsset_Font8/b37171b0cb7d2044e39dd8001c23a0e540f91207.asset/AssetData/BMJua-Regular.otf,BMJua-Regular.otf,BM JUA OTF,BM JUA OTF,BMJUAOTF
/System/Library/AssetsV2/com_apple_MobileAsset_Font8/7a694995bfafc612fac18a23b283bdf239ef4f2c.asset/AssetData/BMKirangHaerang-Regular.otf,BMKirangHaerang-Regular.otf,BM KIRANGHAERANG OTF,BM KIRANGHAERANG OTF,BMKIRANGHAERANG-OTF
/System/Library/AssetsV2/com_apple_MobileAsset_Font8/a7a90316a83e0693b3d971d89b235ee578c59f0c.asset/AssetData/BMYeongSung-Regular.otf,BMYeongSung-Regular.otf,BM YEONSUNG OTF,BM YEONSUNG OTF,BMYEONSUNG-OTF
/System/Library/Fonts/Supplemental/Baghdad.ttc,Baghdad.ttc,Baghdad,Baghdad Regular,Baghdad
/System/Library/Fonts/Supplemental/Bangla MN.ttc,Bangla MN.ttc,Bangla MN,Bangla MN,BanglaMN
/System/Library/Fonts/Supplemental/Bangla Sangam MN.ttc,Bangla Sangam MN.ttc,Bangla Sangam MN,Bangla Sangam MN,BanglaSangamMN
/System/Library/AssetsV2/com_apple_MobileAsset_Font8/70875a1270987c17cfd6f40cd3d755ec04d03b33.asset/AssetData/Baoli.ttc,Baoli.ttc,Baoli SC,Baoli SC Regular,STBaoliSC-Regular
/System/Library/Fonts/Supplemental/Baskerville.ttc,Baskerville.ttc,Baskerville,Baskerville,Baskerville
/System/Library/Fonts/Supplemental/Beirut.ttc,Beirut.ttc,Beirut,Beirut Regular,Beirut
/System/Library/AssetsV2/com_apple_MobileAsset_Font8/5f4c23e4a0c7b70597730d79e252955e973ead7d.asset/AssetData/BiauKai.ttc,BiauKai.ttc,BiauKaiHK Regular,BiauKaiHK Regular,BiauKaiHK-Regular
/System/Library/Fonts/Supplemental/BigCaslon.ttf,BigCaslon.ttf,Big Caslon,Big Caslon Medium,BigCaslon-Medium
/System/Library/Fonts/Supplemental/Bodoni 72.ttc,Bodoni 72.ttc,Bodoni 72,Bodoni 72 Book,BodoniSvtyTwoITCTT-Book
/System/Library/Fonts/Supplemental/Bodoni 72 OS.ttc,Bodoni 72 OS.ttc,Bodoni 72 Oldstyle,Bodoni 72 Oldstyle Book,BodoniSvtyTwoOSITCTT-Book
/System/Library/Fonts/Supplemental/Bodoni 72 Smallcaps Book.ttf,Bodoni 72 Smallcaps Book.ttf,Bodoni 72 Smallcaps,Bodoni 72 Smallcaps Book,BodoniSvtyTwoSCITCTT-Book
/System/Library/Fonts/Supplemental/Bodoni Ornaments.ttf,Bodoni Ornaments.ttf,Bodoni Ornaments,Bodoni Ornaments,BodoniOrnamentsITCTT
/System/Library/Fonts/Supplemental/Bradley Hand Bold.ttf,Bradley Hand Bold.ttf,Bradley Hand,Bradley Hand Bold,BradleyHandITCTT-Bold
/System/Library/Fonts/Supplemental/Brush Script.ttf,Brush Script.ttf,Brush Script MT,Brush Script MT Italic,BrushScriptMT
/System/Library/Fonts/Supplemental/Chalkboard.ttc,Chalkboard.ttc,Chalkboard,Chalkboard,Chalkboard
/System/Library/Fonts/Supplemental/ChalkboardSE.ttc,ChalkboardSE.ttc,Chalkboard SE,Chalkboard SE Light,ChalkboardSE-Light
/System/Library/Fonts/Supplemental/Chalkduster.ttf,Chalkduster.ttf,Chalkduster,Chalkduster,Chalkduster
/System/Library/Fonts/Supplemental/Charter.ttc,Charter.ttc,Charter,Charter Roman,Charter-Roman
/System/Library/Fonts/Supplemental/Cochin.ttc,Cochin.ttc,Cochin,Cochin,Cochin
/Users/xiangyucheng/Library/Fonts/Comfortaa-Bold.ttf,Comfortaa-Bold.ttf,Comfortaa,Comfortaa Bold,Comfortaa-Bold
/System/Library/Fonts/Supplemental/Comic Sans MS.ttf,Comic Sans MS.ttf,Comic Sans MS,Comic Sans MS,ComicSansMS
/System/Library/Fonts/Supplemental/Comic Sans MS Bold.ttf,Comic Sans MS Bold.ttf,Comic Sans MS,Comic Sans MS Bold,ComicSansMS-Bold
/System/Library/Fonts/Supplemental/Copperplate.ttc,Copperplate.ttc,Copperplate,Copperplate,Copperplate
/Users/xiangyucheng/Library/Fonts/logotypejp_mp_b.ttf,logotypejp_mp_b.ttf,Corporate Logo Bold,Corporate Logo Bold,Corporate-Logo-Bold
/Users/xiangyucheng/Library/Fonts/Corporate-Logo-Mar-2.ttf,Corporate-Logo-Mar-2.ttf,Corporate Logo Maru,Corporate Logo Maru,Corporate-Logo-Maru
/System/Library/Fonts/Supplemental/Corsiva.ttc,Corsiva.ttc,Corsiva Hebrew,Corsiva Hebrew,CorsivaHebrew
/System/Library/Fonts/Courier.ttc,Courier.ttc,Courier,Courier,Courier
/System/Library/Fonts/Supplemental/Courier New Italic.ttf,Courier New Italic.ttf,Courier New,Courier New Italic,CourierNewPS-ItalicMT
/System/Library/Fonts/Supplemental/Courier New Bold.ttf,Courier New Bold.ttf,Courier New,Courier New Bold,CourierNewPS-BoldMT
/System/Library/Fonts/Supplemental/Courier New Bold Italic.ttf,Courier New Bold Italic.ttf,Courier New,Courier New Bold Italic,CourierNewPS-BoldItalicMT
/System/Library/Fonts/Supplemental/Courier New.ttf,Courier New.ttf,Courier New,Courier New,CourierNewPSMT
/System/Library/Fonts/Supplemental/DIN Alternate Bold.ttf,DIN Alternate Bold.ttf,DIN Alternate,DIN Alternate Bold,DINAlternate-Bold
/System/Library/Fonts/Supplemental/DIN Condensed Bold.ttf,DIN Condensed Bold.ttf,DIN Condensed,DIN Condensed Bold,DINCondensed-Bold
/System/Library/Fonts/Supplemental/Damascus.ttc,Damascus.ttc,Damascus,Damascus Regular,Damascus
/System/Library/Fonts/Supplemental/DecoTypeNaskh.ttc,DecoTypeNaskh.ttc,DecoType Naskh,DecoType Naskh Regular,DecoTypeNaskh
/System/Library/Fonts/Supplemental/DevanagariMT.ttc,DevanagariMT.ttc,Devanagari MT,Devanagari MT,DevanagariMT
/System/Library/Fonts/Supplemental/Devanagari Sangam MN.ttc,Devanagari Sangam MN.ttc,Devanagari Sangam MN,Devanagari Sangam MN,DevanagariSangamMN
/System/Library/Fonts/Supplemental/Didot.ttc,Didot.ttc,Didot,Didot,Didot
/System/Library/Fonts/Supplemental/Diwan Kufi.ttc,Diwan Kufi.ttc,Diwan Kufi,Diwan Kufi Regular,DiwanKufi
/System/Library/Fonts/Supplemental/Diwan Thuluth.ttf,Diwan Thuluth.ttf,Diwan Thuluth,Diwan Thuluth Regular,DiwanThuluth
/Users/xiangyucheng/Library/Fonts/electroharmonix.ttf,electroharmonix.ttf,Electroharmonix,Electroharmonix-Regular,Electroharmonix-Regular
/System/Library/Fonts/Supplemental/EuphemiaCAS.ttc,EuphemiaCAS.ttc,Euphemia UCAS,Euphemia UCAS,EuphemiaUCAS
/Users/xiangyucheng/Library/Fonts/fot-くろかね.otf,fot-くろかね.otf,FOT-Kurokane Std EB,FOT-Kurokane Std EB,KurokaneStd-EB
/Users/xiangyucheng/Library/Fonts/FOT-PalRamuneStd-B.OTF,FOT-PalRamuneStd-B.OTF,FOT-PalRamune Std B,PalRamuneStd-B,PalRamuneStd-B
/Users/xiangyucheng/Library/Fonts/精选日文创意字体（设计字体）FOT-RocknRollStd_爱给网_aigei_com.otf,精选日文创意字体（设计字体）FOT-RocknRollStd_爱给网_aigei_com.otf,FOT-RocknRoll Std DB,RocknRollStd-DB,RocknRollStd-DB
/Users/xiangyucheng/Library/Fonts/FOT-RodinCamille Pro EB.otf,FOT-RodinCamille Pro EB.otf,FOT-RodinCamille Pro EB,RodinCamillePro-EB,RodinCamillePro-EB
/Users/xiangyucheng/Library/Fonts/FOT-RodinWanpakuPro-EB.otf,FOT-RodinWanpakuPro-EB.otf,FOT-RodinWanpaku Pro EB,RodinWanpakuPro-EB,RodinWanpakuPro-EB
/Users/xiangyucheng/Library/Fonts/FOT-SkipStd-E.OTF,FOT-SkipStd-E.OTF,FOT-Skip Std E,SkipStd-E,SkipStd-E
/Users/xiangyucheng/Library/Fonts/FOT-SkipStd-L.OTF,FOT-SkipStd-L.OTF,FOT-Skip Std L,SkipStd-L,SkipStd-L
/Users/xiangyucheng/Library/Fonts/fot-yuruka-std.ttf,fot-yuruka-std.ttf,FOT-Yuruka Std UB,YurukaStd-UB,YurukaStd-UB
/Users/xiangyucheng/Library/Fonts/FZCCHK.TTF,FZCCHK.TTF,FZChaoCuHei-M10,FZChaoCuHei-M10,FZCCHK--GBK1-0
/Users/xiangyucheng/Library/Fonts/FZCCHJW.TTF,FZCCHJW.TTF,FZChaoCuHei-M10S,FZChaoCuHei-M10S,FZCCHJW--GB1-0
/Users/xiangyucheng/Library/Fonts/FZCSJW.TTF,FZCSJW.TTF,FZCuSong-B09S,FZCuSong-B09S,FZCSJW--GB1-0
/Users/xiangyucheng/Library/Fonts/FZFWHuanLTJW.TTF,FZFWHuanLTJW.TTF,FZFW HuanLe TiS,FZFW HuanLe TiS,FZFW-HuanLeTi--GB1-0
/Users/xiangyucheng/Library/Fonts/FZFWQingYinTiJWE.TTF,FZFWQingYinTiJWE.TTF,FZFW Qing Yin TiS E,FZFW Qing Yin TiS E,FZFW-QingYinTiS-E--GB1-0
/Users/xiangyucheng/Library/Fonts/FZFWZhuZiABiaoTMCJW.TTF,FZFWZhuZiABiaoTMCJW.TTF,FZFW ZhuZi A BiaoTiMinChoS,FZFW ZhuZi A BiaoTiMinChoS,FZFW-ZZABTMC--GB1-0
/Users/xiangyucheng/Library/Fonts/FZFWMaDSTJW-B.TTF,FZFWMaDSTJW-B.TTF,FZFWMaDiSiTiS,FZFWMaDiSiTiS Bold,FZFWMADSTS-B--GB1-0
/Users/xiangyucheng/Library/Fonts/FZFenSTXJW.TTF,FZFenSTXJW.TTF,FZFenSTXS-R-GB,FZFenSTXS-R-GB,FZFENSTXJW--GB1-0
/Users/xiangyucheng/Library/Fonts/FZGDCTJW-B.TTF,FZGDCTJW-B.TTF,FZGDCTiS,FZGDCTiS Bold,FZGDCTS-B--GB1-0
/Users/xiangyucheng/Library/Fonts/FZJianLTJW_Da.TTF,FZJianLTJW_Da.TTF,FZJianLiTiS ExtraBold,FZJianLiTiS ExtraBold,FZJIANLTS_DA--GB1-0
/Users/xiangyucheng/Library/Fonts/FZJingHJW.TTF,FZJingHJW.TTF,FZJingHeiS-R-GB,FZJingHeiS-R-GB,FZJINGHJW--GB1-0
/Users/xiangyucheng/Library/Fonts/FZKTJW.TTF,FZKTJW.TTF,FZKai-Z03S,FZKai-Z03S,FZKTJW--GB1-0
/Users/xiangyucheng/Library/Fonts/FZLTDHJW.TTF,FZLTDHJW.TTF,FZLanTingHeiS-EB-GB,FZLanTingHeiS-EB-GB,FZLTDHJW--GB1-0
/Users/xiangyucheng/Library/Fonts/FZMoDTJW_Da.TTF,FZMoDTJW_Da.TTF,FZMoDengTiS ExtraBold,FZMoDengTiS ExtraBold,FZMODTS_DA--GB1-0
/Users/xiangyucheng/Library/Fonts/FZPANGPBJW.TTF,FZPANGPBJW.TTF,FZPangPangBaiS-R-GB,FZPangPangBaiS-R-GB,FZPANGPBJW--GB1-0
/Users/xiangyucheng/Library/Fonts/FZPSCHJW.TTF,FZPSCHJW.TTF,FZPinShangHeiS-B-GB,FZPinShangHeiS-B-GB,FZPSCHJW--GB1-0
/Users/xiangyucheng/Library/Fonts/FZShouXHJW-B.TTF,FZShouXHJW-B.TTF,FZShouXieHeiS,FZShouXieHeiS Bold,FZSHOUXHS-B--GB1-0
/Users/xiangyucheng/Library/Fonts/FZYaZTJ_Da.TTF,FZYaZTJ_Da.TTF,FZYaZhuTiS ExtraBold,FZYaZhuTiS ExtraBold,FZYAZT_DAJW--GB1-0
/Users/xiangyucheng/Library/Fonts/FZZJ-XSS.TTF,FZZJ-XSS.TTF,FZZJ-XSS,FZZJ-XSS,FZZJ-XSS
/System/Library/Fonts/Supplemental/Farah.ttc,Farah.ttc,Farah,Farah Regular,Farah
/System/Library/Fonts/Supplemental/Farisi.ttf,Farisi.ttf,Farisi,Farisi Regular,Farisi
/System/Library/Fonts/Supplemental/Futura.ttc,Futura.ttc,Futura,Futura Medium,Futura-Medium
/System/Library/Fonts/Supplemental/NISC18030.ttf,NISC18030.ttf,GB18030 Bitmap,GB18030 Bitmap,GB18030Bitmap
/System/Library/Fonts/Supplemental/Galvji.ttc,Galvji.ttc,Galvji,Galvji,Galvji
/System/Library/Fonts/GeezaPro.ttc,GeezaPro.ttc,Geeza Pro,Geeza Pro Regular,GeezaPro
/Users/xiangyucheng/Library/Fonts/GenShinGothic-Heavy-2.ttf,GenShinGothic-Heavy-2.ttf,Gen Shin Gothic Heavy,Gen Shin Gothic Heavy,GenShinGothic-Heavy
/System/Library/Fonts/Geneva.ttf,Geneva.ttf,Geneva,Geneva,Geneva
/System/Library/Fonts/Supplemental/Georgia Italic.ttf,Georgia Italic.ttf,Georgia,Georgia Italic,Georgia-Italic
/System/Library/Fonts/Supplemental/Georgia Bold.ttf,Georgia Bold.ttf,Georgia,Georgia Bold,Georgia-Bold
/System/Library/Fonts/Supplemental/Georgia Bold Italic.ttf,Georgia Bold Italic.ttf,Georgia,Georgia Bold Italic,Georgia-BoldItalic
/System/Library/Fonts/Supplemental/Georgia.ttf,Georgia.ttf,Georgia,Georgia,Georgia
/System/Library/Fonts/Supplemental/GillSans.ttc,GillSans.ttc,Gill Sans,Gill Sans,GillSans
/System/Library/Fonts/Supplemental/GujaratiMT.ttc,GujaratiMT.ttc,Gujarati MT,Gujarati MT,GujaratiMT
/System/Library/Fonts/Supplemental/Gujarati Sangam MN.ttc,Gujarati Sangam MN.ttc,Gujarati Sangam MN,Gujarati Sangam MN,GujaratiSangamMN
/System/Library/AssetsV2/com_apple_MobileAsset_Font8/2cbbb46d93096244bde9fa13aa10939987dd0964.asset/AssetData/Gungseouche.ttf,Gungseouche.ttf,GungSeo,GungSeo Regular,JCkg
/System/Library/Fonts/Supplemental/Gurmukhi MN.ttc,Gurmukhi MN.ttc,Gurmukhi MN,Gurmukhi MN,GurmukhiMN
/System/Library/Fonts/Supplemental/Gurmukhi.ttf,Gurmukhi.ttf,Gurmukhi MT,Gurmukhi MT,MonotypeGurmukhi
/System/Library/Fonts/Supplemental/Gurmukhi Sangam MN.ttc,Gurmukhi Sangam MN.ttc,Gurmukhi Sangam MN,Gurmukhi Sangam MN,GurmukhiSangamMN
/Users/xiangyucheng/Library/Fonts/HanaMin.ttf,HanaMin.ttf,HanaMin,HanaMin Regular,HanaMin
/Users/xiangyucheng/Library/Fonts/花园明朝体-HanaMinA.ttf,花园明朝体-HanaMinA.ttf,HanaMinA,HanaMinA Regular,HanaMinA
/Users/xiangyucheng/Library/Fonts/HanaMinA.ttf,HanaMinA.ttf,HanaMinA,HanaMinA Regular,HanaMinA
/Users/xiangyucheng/Library/Fonts/花园明朝体-HanaMinB.ttf,花园明朝体-HanaMinB.ttf,HanaMinB,HanaMinB Regular,HanaMinB
/System/Library/AssetsV2/com_apple_MobileAsset_Font8/00bfc46ccb002b730e29def5116e0a571fb617d8.asset/AssetData/Hannotate.ttc,Hannotate.ttc,Hannotate SC,Hannotate SC Regular,HannotateSC-W5
/System/Library/AssetsV2/com_apple_MobileAsset_Font8/a3c69464b629577766c23bcdb12ffbfe3759b923.asset/AssetData/Hanzipen.ttc,Hanzipen.ttc,HanziPen SC,HanziPen SC Regular,HanziPenSC-W3
/System/Library/AssetsV2/com_apple_MobileAsset_Font8/c6821a5885b1c099dc7e340ca61cd3ddb35cb62e.asset/AssetData/HeadlineA.ttf,HeadlineA.ttf,HeadLineA,HeadLineA Regular,JCHEadA
/System/Library/AssetsV2/com_apple_MobileAsset_Font8/5feac9245cca79adaf638ded7a4994b1ddb33ca0.asset/AssetData/Hei.ttf,Hei.ttf,Hei,Hei Regular,SIL-Hei-Med-Jian
/System/Library/Fonts/STHeiti Medium.ttc,STHeiti Medium.ttc,Heiti TC,Heiti TC Medium,STHeitiTC-Medium
/System/Library/Fonts/STHeiti Light.ttc,STHeiti Light.ttc,Heiti TC,Heiti TC Light,STHeitiTC-Light
/System/Library/Fonts/Helvetica.ttc,Helvetica.ttc,Helvetica,Helvetica,Helvetica
/System/Library/Fonts/HelveticaNeue.ttc,HelveticaNeue.ttc,Helvetica Neue,Helvetica Neue,HelveticaNeue
/System/Library/Fonts/Supplemental/Herculanum.ttf,Herculanum.ttf,Herculanum,Herculanum,Herculanum
/Users/xiangyucheng/Library/Fonts/Jiao-Std-W8-2.otf,Jiao-Std-W8-2.otf,Hiragino Kaku Gothic Std W8,Hiragino Kaku Gothic Std W8,HiraKakuStd-W8
/System/Library/Fonts/ヒラギノ丸ゴ ProN W4.ttc,ヒラギノ丸ゴ ProN W4.ttc,Hiragino Maru Gothic Pro W4,HiraMaruPro-W4,HiraMaruPro-W4
/System/Library/Fonts/ヒラギノ明朝 ProN.ttc,ヒラギノ明朝 ProN.ttc,Hiragino Mincho ProN W3,HiraMinProN-W3,HiraMinProN-W3
/System/Library/Fonts/Hiragino Sans GB.ttc,Hiragino Sans GB.ttc,Hiragino Sans GB W3,Hiragino Sans GB W3,HiraginoSansGB-W3
/System/Library/Fonts/ヒラギノ角ゴシック W0.ttc,ヒラギノ角ゴシック W0.ttc,Hiragino Sans W0,Hiragino Sans W0,HiraginoSans-W0
/System/Library/Fonts/ヒラギノ角ゴシック W1.ttc,ヒラギノ角ゴシック W1.ttc,Hiragino Sans W1,Hiragino Sans W1,HiraginoSans-W1
/System/Library/Fonts/ヒラギノ角ゴシック W2.ttc,ヒラギノ角ゴシック W2.ttc,Hiragino Sans W2,Hiragino Sans W2,HiraginoSans-W2
/System/Library/Fonts/ヒラギノ角ゴシック W3.ttc,ヒラギノ角ゴシック W3.ttc,Hiragino Sans W3,Hiragino Sans W3,HiraginoSans-W3
/System/Library/Fonts/ヒラギノ角ゴシック W4.ttc,ヒラギノ角ゴシック W4.ttc,Hiragino Sans W4,Hiragino Sans W4,HiraginoSans-W4
/System/Library/Fonts/ヒラギノ角ゴシック W5.ttc,ヒラギノ角ゴシック W5.ttc,Hiragino Sans W5,Hiragino Sans W5,HiraginoSans-W5
/System/Library/Fonts/ヒラギノ角ゴシック W6.ttc,ヒラギノ角ゴシック W6.ttc,Hiragino Sans W6,Hiragino Sans W6,HiraginoSans-W6
/System/Library/Fonts/ヒラギノ角ゴシック W7.ttc,ヒラギノ角ゴシック W7.ttc,Hiragino Sans W7,Hiragino Sans W7,HiraginoSans-W7
/System/Library/Fonts/ヒラギノ角ゴシック W8.ttc,ヒラギノ角ゴシック W8.ttc,Hiragino Sans W8,Hiragino Sans W8,HiraginoSans-W8
/System/Library/Fonts/ヒラギノ角ゴシック W9.ttc,ヒラギノ角ゴシック W9.ttc,Hiragino Sans W9,Hiragino Sans W9,HiraginoSans-W9
/Users/xiangyucheng/Library/Fonts/hiraginokaku-w9-90-rksj-h.ttc,hiraginokaku-w9-90-rksj-h.ttc,HiraginoKaku W9,HiraginoKaku W9,HiraginoKaku-W9-90msp-RKSJ-H
/System/Library/Fonts/Supplemental/Hoefler Text.ttc,Hoefler Text.ttc,Hoefler Text,Hoefler Text,HoeflerText-Regular
/System/Library/Fonts/Supplemental/Hoefler Text Ornaments.ttf,Hoefler Text Ornaments.ttf,Hoefler Text Ornaments,Hoefler Text Ornaments,HoeflerText-Ornaments
/System/Library/Fonts/Supplemental/ITFDevanagari.ttc,ITFDevanagari.ttc,ITF Devanagari,ITFDevanagari-Book,ITFDevanagari-Book
/System/Library/Fonts/Supplemental/Impact.ttf,Impact.ttf,Impact,Impact,Impact
/System/Library/Fonts/Supplemental/InaiMathi-MN.ttc,InaiMathi-MN.ttc,InaiMathi,InaiMathi,InaiMathi
/System/Library/Fonts/Supplemental/Iowan Old Style.ttc,Iowan Old Style.ttc,Iowan Old Style,Iowan Old Style Roman,IowanOldStyle-Roman
/System/Library/AssetsV2/com_apple_MobileAsset_Font8/6331c5916c361af1b83fb8b8b76ef2eece20c8eb.asset/AssetData/Kai.ttf,Kai.ttf,Kai,Kai Regular,SIL-Kai-Reg-Jian
/System/Library/Fonts/Supplemental/Kailasa.ttc,Kailasa.ttc,Kailasa,Kailasa Regular,Kailasa
/System/Library/AssetsV2/com_apple_MobileAsset_Font8/88d6cc32a907955efa1d014207889413890573be.asset/AssetData/Kaiti.ttc,Kaiti.ttc,Kaiti SC,Kaiti SC Regular,STKaitiSC-Regular
/System/Library/Fonts/Supplemental/Kannada MN.ttc,Kannada MN.ttc,Kannada MN,Kannada MN,KannadaMN
/System/Library/Fonts/Supplemental/Kannada Sangam MN.ttc,Kannada Sangam MN.ttc,Kannada Sangam MN,Kannada Sangam MN,KannadaSangamMN
/System/Library/Fonts/Supplemental/KefaIII.ttf,KefaIII.ttf,Kefa III,Kefa III Regular,KefaIII-Regular
/Users/xiangyucheng/Library/Fonts/keifont.ttf,keifont.ttf,Keifont,Keifont,Keifont
/System/Library/Fonts/Supplemental/Khmer MN.ttc,Khmer MN.ttc,Khmer MN,Khmer MN,KhmerMN
/System/Library/Fonts/Supplemental/Khmer Sangam MN.ttf,Khmer Sangam MN.ttf,Khmer Sangam MN,Khmer Sangam MN,KhmerSangamMN
/Users/xiangyucheng/Library/Fonts/kipsol-regular.ttf,kipsol-regular.ttf,Kipsol,Kipsol,Kipsol
/System/Library/AssetsV2/com_apple_MobileAsset_Font8/81e879dcb4d596ab140f7cffcd5ccaaf8108519b.asset/AssetData/Klee.ttc,Klee.ttc,Klee Demibold,Klee Demibold,Klee-Demibold
/System/Library/Fonts/KohinoorBangla.ttc,KohinoorBangla.ttc,Kohinoor Bangla,Kohinoor Bangla,KohinoorBangla-Regular
/System/Library/Fonts/Kohinoor.ttc,Kohinoor.ttc,Kohinoor Devanagari,Kohinoor Devanagari Regular,KohinoorDevanagari-Regular
/System/Library/Fonts/KohinoorGujarati.ttc,KohinoorGujarati.ttc,Kohinoor Gujarati,Kohinoor Gujarati Bold,KohinoorGujarati-Bold
/System/Library/Fonts/KohinoorTelugu.ttc,KohinoorTelugu.ttc,Kohinoor Telugu,Kohinoor Telugu,KohinoorTelugu-Regular
/System/Library/Fonts/Supplemental/Kokonor.ttf,Kokonor.ttf,Kokonor,Kokonor Regular,Kokonor
/System/Library/Fonts/Supplemental/Krungthep.ttf,Krungthep.ttf,Krungthep,Krungthep,Krungthep
/System/Library/Fonts/Supplemental/KufiStandardGK.ttc,KufiStandardGK.ttc,KufiStandardGK,KufiStandardGK Regular,KufiStandardGK
/Users/xiangyucheng/Library/Fonts/kurokane.ttf,kurokane.ttf,Kurokane,Kurokane,Kurokane
/System/Library/AssetsV2/com_apple_MobileAsset_Font8/f14049099a04e570b893c01d9a4cd71f87c9e8d8.asset/AssetData/Lantinghei.ttc,Lantinghei.ttc,Lantinghei SC,Lantinghei SC Demibold,FZLTZHK--GBK1-0
/System/Library/Fonts/Supplemental/Lao MN.ttc,Lao MN.ttc,Lao MN,Lao MN,LaoMN
/System/Library/Fonts/Supplemental/Lao Sangam MN.ttf,Lao Sangam MN.ttf,Lao Sangam MN,Lao Sangam MN,LaoSangamMN
/Users/xiangyucheng/Library/Fonts/lesle.ttf,lesle.ttf,Lesle,Lesle,Lesle
/System/Library/AssetsV2/com_apple_MobileAsset_Font8/5d3a1229823fff781c0d9dac611c90f9fc31e138.asset/AssetData/LiHeiPro.ttf,LiHeiPro.ttf,LiHei Pro,LiHei Pro,LiHeiPro
